minute,strokes
1410414840, 0
1410415740, 153
1410415920, 17
1410456360, 9
1410456480, 8
1410456660, 77
1410456780, 54
1410456900, 1
1410457020, 84
1410457140, 246
1410457260, 364
1410457380, 16
1410457500, 116
1410457620, 113
1410457800, 20
1410457920, 69
1410458040, 72
1410458160, 93
1410458280, 127
1410458400, 25
1410458640, 59
1410458880, 16
1410459120, 41
1410459240, 143
1410459360, 11
1410459480, 20
1410459600, 61
1410459840, 51
1410459960, 181
1410460080, 378
1410460560, 12
1410460680, 242
1410466140, 44
1410466440, 1
1410466860, 56
1410467280, 4
1410467580, 76
1410467760, 98
1410468120, 17
1410468300, 33
1410468420, 39
1410469140, 127
1410469260, 108
1410469380, 247
1410469500, 249
1410469620, 195
1410469800, 176
1410470580, 68
1410470760, 41
1410470880, 121
1410471000, 72
1410471480, 129
1410471600, 387
1410471720, 526
1410472080, 363
1410472260, 40
1410472380, 20
1410472500, 45
1410472620, 5
1410472740, 295
1410472980, 195
1410473160, 159
1410473340, 80
1410473460, 136
1410473580, 284
1410474420, 56
1410474540, 153
1410474660, 229
1410474780, 376
1410474900, 363
1410475020, 160
1410475200, 292
1410475320, 63
1410475440, 62
1410475560, 43
1410475680, 222
1410475800, 315
1410475920, 41
1410476160, 5
1410476280, 549
1410476400, 491
1410476520, 233
1410476640, 253
1410476760, 136
1410477000, 260
1410477120, 275
1410477240, 343
1410477360, 77
1410477480, 161
1410477600, 235
1410478020, 49
1410478140, 267
1410478260, 156
1410478380, 84
1410478500, 119
1410478620, 145
1410478740, 178
1410478860, 198
1410478980, 195
1410479100, 206
1410479220, 154
1410479340, 124
1410479460, 284
1410479580, 221
1410479700, 325
1410479820, 154
1410479940, 174
1410480060, 2
1410480240, 292
1410480360, 130
1410480480, 132
1410480600, 37
1410480720, 38
1410480840, 107
1410480960, 49
1410481080, 268
1410481200, 160
1410481320, 155
1410481440, 254
1410481560, 296
1410481680, 305
1410481860, 118
1410481980, 31
1410482340, 73
1410482460, 265
1410482580, 188
1410482700, 279
1410482880, 170
1410483120, 64
1410483300, 76
1410483420, 116
1410483540, 19
1410483660, 19
