minute,strokes
1410414840, 0
1410415740, 153
1410415920, 17
1410456360, 9
1410456480, 8
1410456660, 77
1410456780, 54
1410456900, 1
1410457020, 84
1410457140, 246
1410457260, 364
1410457380, 16
1410457500, 116
1410457620, 113
1410457800, 20
1410457920, 69
1410458040, 72
1410458160, 93
1410458280, 127
1410458400, 25
1410458640, 59
1410458880, 16
1410459120, 41
1410459240, 143
1410459360, 11
1410459480, 20
1410459600, 61
1410459840, 51
1410459960, 181
1410460080, 378
1410460560, 12
1410460680, 242
1410466140, 44
1410466440, 1
1410466860, 56
1410467280, 4
1410467580, 76
1410467760, 98
1410468120, 17
1410468300, 33
1410468420, 39
1410469140, 127
1410469260, 108
1410469380, 247
1410469500, 249
1410469620, 195
1410469800, 176
1410470580, 68
1410470760, 41
1410470880, 121
1410471000, 72
1410471480, 129
1410471600, 387
1410471720, 526
1410472080, 363
1410472260, 40
1410472380, 20
1410472500, 45
1410472620, 5
1410472740, 295
1410472980, 195
1410473160, 159
1410473340, 80
1410473460, 136
1410473580, 284
1410474420, 56
1410474540, 153
1410474660, 229
1410474780, 376
1410474900, 363
1410475020, 160
1410475200, 292
1410475320, 63
1410475440, 62
1410475560, 43
1410475680, 222
1410475800, 315
1410475920, 41
1410476160, 5
1410476280, 549
1410476400, 491
1410476520, 233
1410476640, 253
1410476760, 136
1410477000, 260
1410477120, 275
1410477240, 343
1410477360, 77
1410477480, 161
1410477600, 235
1410478020, 49
1410478140, 267
1410478260, 156
1410478380, 84
1410478500, 119
1410478620, 145
1410478740, 178
1410478860, 198
1410478980, 195
1410479100, 206
1410479220, 154
1410479340, 124
1410479460, 284
1410479580, 221
1410479700, 325
1410479820, 154
1410479940, 174
1410480060, 2
1410480240, 292
1410480360, 130
1410480480, 132
1410480600, 37
1410480720, 38
1410480840, 107
1410480960, 49
1410481080, 268
1410481200, 160
1410481320, 155
1410481440, 254
1410481560, 296
1410481680, 305
1410481860, 118
1410481980, 31
1410482340, 73
1410482460, 265
1410482580, 188
1410482700, 279
1410482880, 170
1410483120, 64
1410483300, 76
1410483420, 116
1410483540, 19
1410483660, 19
1410483900, 21
1410484020, 7
1410540000, 42
1410540240, 14
1410540420, 226
1410540540, 68
1410540660, 276
1410540780, 453
1410540960, 217
1410541080, 353
1410541200, 42
1410541320, 240
1410541440, 81
1410541560, 132
1410541860, 164
1410541980, 164
1410542100, 429
1410542220, 255
1410542340, 125
1410542460, 169
1410542580, 88
1410542820, 206
1410544620, 90
1410544740, 205
1410544860, 294
1410545160, 87
1410545280, 323
1410545400, 230
1410545520, 254
1410545940, 145
1410546300, 9
1410546420, 48
1410546900, 18
1410547500, 6
1410547620, 48
1410547740, 44
1410547860, 1
1410548580, 25
1410548760, 33
1410548880, 24
1410549000, 132
1410549240, 78
1410549360, 31
1410549720, 55
1410549840, 52
1410549960, 115
1410550080, 457
1410551940, 79
1410552060, 27
1410552180, 17
1410552600, 8
1410552900, 10
1410553020, 95
1410553140, 56
1410553500, 9
1410553800, 20
1410554460, 9
1410554760, 29
1410554940, 12
1410555060, 55
1410555240, 133
1410555420, 26
1410555540, 86
1410555720, 145
1410555840, 316
1410556140, 218
1410556260, 191
1410556380, 258
1410556500, 548
1410556620, 255
1410556740, 50
1410556860, 226
1410556980, 323
1410557100, 196
1410557220, 380
1410557340, 121
1410557460, 274
1410557580, 174
1410557700, 211
1410557820, 215
1410557940, 422
1410558120, 162
1410558240, 204
1410558360, 181
1410559440, 305
1410559560, 11
1410559680, 269
1410559800, 241
1410559920, 24
1410560040, 143
1410560160, 11
1410560280, 28
1410560400, 184
1410560520, 179
1410560640, 201
1410560760, 85
1410560880, 169
1410561120, 30
1410561360, 197
1410561780, 122
1410563640, 60
1410563760, 126
1410564660, 123
1410564780, 86
1410564900, 143
1410565020, 213
1410565140, 87
1410565260, 51
1410565380, 247
1410565500, 58
1410565800, 17
1410566220, 24
1410566580, 260
1410566700, 34
1410566820, 345
1410566940, 78
1410567060, 206
1410567180, 341
1410567300, 183
1410569100, 39
1410569400, 7
1410569520, 249
1410569640, 75
1410569760, 103
1410569880, 144
1410570000, 14
1410570360, 68
1410592380, 13
1410593160, 87
1410593280, 81
1410593520, 29
1410593640, 109
1410593760, 130
1410594360, 39
1410594660, 100
1410594780, 38
1410594900, 17
1410595020, 57
1410595200, 63
1410595320, 14
1410595560, 36
1410595680, 27
1410595800, 27
1410596100, 78
1410596280, 60
1410596760, 22
1410596940, 77
1410597060, 40
1410597240, 131
1410597360, 145
1410597480, 465
1410597600, 59
1410597780, 71
1410597900, 7
1410598020, 6
1410598140, 64
1410598260, 87
1410598380, 48
1410598620, 39
1410598920, 13
1410599100, 30
1410599340, 67
1410599640, 78
1410599760, 35
1410599880, 18
1410600000, 37
1410644280, 11
1410644820, 16
1410645480, 19
1410645720, 37
1410672480, 1
1410672960, 9
1410673320, 13
1410673500, 16
1410673800, 29
1410673920, 31
1410674040, 23
1410725520, 10
1410726480, 21
1410727020, 24
1410727260, 36
1410727680, 37
1410727920, 32
1410728340, 38
1410728580, 12
1410728760, 56
1410728940, 21
1410729360, 24
1410729480, 21
1410729600, 49
1410729720, 13
1410730080, 13
1410730680, 41
1410731100, 28
1410731280, 48
1410731400, 34
1410731520, 22
1410731640, 70
1410731820, 96
1410731940, 87
1410732540, 33
1410734640, 24
1410734880, 6
1410735000, 62
1410735120, 108
1410735240, 87
1410737880, 49
1410738180, 26
1410738300, 14
1410738900, 20
1410739020, 44
1410741120, 77
1410741240, 281
1410741360, 402
1410741480, 136
1410741600, 48
1410741780, 10
1410742020, 69
1410742260, 39
1410742560, 5
1410743880, 5
1410744060, 47
1410744180, 10
1410749220, 53
1410749340, 113
1410749460, 53
1410749580, 10
1410749760, 27
1410749880, 50
1410750000, 60
1410750180, 58
1410750300, 40
1410750420, 53
1410750540, 129
1410753840, 136
1410754080, 10
1410754260, 10
1410754380, 13
1410754500, 10
1410755280, 8
1410755520, 26
1410755700, 4
1410755820, 27
1410756240, 8
1462945800, 0
1462945920, 76
1462946040, 178
1462946160, 355
1462946280, 301
1462946400, 181
1462946520, 216
1462946640, 140
1462946760, 382
1462946880, 217
1462947000, 29
1462947120, 196
1462947240, 422
1462947360, 273
1462947480, 301
1462947600, 378
1462949040, 17
1462987380, 1
1462987620, 5
1462987740, 83
1462988460, 194
1462988580, 83
1462988700, 146
1462988820, 293
1462988940, 197
1462989060, 104
1462989180, 78
1462989300, 8
1462989960, 33
1462990140, 2
1462990500, 35
1462996260, 26
1462996380, 235
1462996500, 624
1462996620, 603
1462996740, 433
1462996860, 240
1462996980, 468
1462997340, 434
1462997460, 98
1462997580, 368
1462997700, 243
1462997880, 23
1462998000, 162
1462998120, 306
1462998240, 337
1462998360, 436
1462998480, 550
1462998600, 583
1462998720, 326
1462998840, 458
1462998960, 434
1462999080, 121
1462999200, 93
1462999320, 43
1462999620, 70
1462999740, 19
1462999860, 25
1463000460, 119
1463000760, 61
1463000940, 35
1463001060, 96
1463001180, 31
1463001540, 130
1463002440, 55
1463003520, 17
1463004120, 96
1463005080, 26
1463009040, 1
1463010060, 9
1463011380, 4
1463011500, 156
1463011800, 198
1463012100, 16
1463012880, 4
1463022720, 12
1463022840, 20
1463026920, 16
1463027040, 53
1463027400, 5
1463027880, 8
1463076180, 13
1463076360, 108
1463077620, 161
1463077740, 75
1463077860, 179
1463078160, 205
1463078340, 16
1463078460, 28
1463078580, 113
1463078820, 105
1463078940, 90
1463079300, 48
1463079420, 131
1463079540, 395
1463079660, 561
1463079780, 255
1463079900, 76
1463080020, 373
1463080680, 39
1463081100, 60
1463081220, 178
1463081340, 28
1463081460, 28
1463082480, 22
1463082600, 150
1463088120, 176
1463088300, 30
